data;temperatura_min;temperatura_media;temperatura_max;flag_t;umr_min;umr_media;umr_max;flag_umr;precipitazione;flag_prec;vvento_media;vvento_max;flag_vv;dvento;dvento_set;flag_dv;radsolare_media;radsolare_max;flag_rad;pressione;flag_pres;
2020-01-01 00:00:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 00:30:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 01:00:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 01:30:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 02:00:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 02:30:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 03:00:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 03:30:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 04:00:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 04:30:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 05:00:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 05:30:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 06:00:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 06:30:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
2020-01-01 07:00:00;NaN;NaN;NaN;3;NaN;NaN;NaN;3;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;NaN;3;NaN;3;
