FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SOLD_PRODUCTS,Prodotti venduti,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-03,162.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-04,152.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-05,145.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-06,138.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-07,137.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-08,137.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-09,131.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-10,129.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-11,132.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2023-12,132.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-01,129.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-02,126.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-03,120.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-04,121.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-05,125.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-06,127.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-07,125.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-08,125.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-09,125.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-10,125.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-11,125.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2024-12,128.2,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2025-01,132,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2025-02,135,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CEREA,Cereali,2025-03,134.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-01,100.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-02,98.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-03,99.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-04,99.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-05,98.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-06,100.3,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-07,99.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-08,98.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-09,99.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-10,101,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-11,101.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2020-12,101.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2021-01,102.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2021-02,105.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2021-03,103.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2021-04,103.3,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2021-05,103.5,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUT,Prodotti vegetali,2021-06,105.7,,
