txtTitolo,SottoTitolo2
Indice dei prezzi all’origine - sintesi dell’andamento mensile 2024,Base dell’Indice 2010=100

Macro_Categoria,Mese,PrezzoMedioPerUdM18,Categoria,PrezzoMedioPerUdM19,Gruppo,PrezzoMedioPerUdM20,Prodotto,PrezzoMedioPerUdM21,Varieta,PrezzoMedioPerUdM22,PrezzoMedioPerUdM23
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Frumento,"154,06",Frumento Tenero,"122,23",Buono Mercantile,"117,24","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Frumento,"150,28",Frumento Tenero,"123,73",Buono Mercantile,"119,01","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Frumento,"149,47",Frumento Tenero,"124,97",Buono Mercantile,"121,15","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Frumento,"152,59",Frumento Tenero,"129,70",Buono Mercantile,"127,01","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Frumento,"152,59",Frumento Tenero,"131,57",Buono Mercantile,"130,03","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Frumento,"152,91",Frumento Tenero,"134,52",Buono Mercantile,"134,98","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Frumento,"179,94",Frumento Tenero,"135,32",Fino,"126,07","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Frumento,"174,39",Frumento Tenero,"131,04",Fino,"119,08","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Frumento,"155,25",Frumento Tenero,"125,32",Fino,"112,21","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Frumento,"158,10",Frumento Tenero,"124,43",Fino,"111,06","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Frumento,"162,70",Frumento Tenero,"128,27",Fino,"116,89","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Frumento,"161,03",Frumento Tenero,"131,82",Fino,"122,44","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Frumento,"154,06",Frumento Tenero,"122,23",Fino,"114,32","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Frumento,"150,28",Frumento Tenero,"123,73",Fino,"116,16","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Frumento,"149,47",Frumento Tenero,"124,97",Fino,"117,38","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Frumento,"152,59",Frumento Tenero,"129,70",Fino,"122,60","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Frumento,"152,59",Frumento Tenero,"131,57",Fino,"124,94","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Frumento,"152,91",Frumento Tenero,"134,52",Fino,"128,98","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Frumento,"179,94",Frumento Tenero,"135,32",Grani Di Forza,"165,78","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Frumento,"174,39",Frumento Tenero,"131,04",Grani Di Forza,"165,58","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Frumento,"155,25",Frumento Tenero,"125,32",Grani Di Forza,"161,62","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Frumento,"158,10",Frumento Tenero,"124,43",Grani Di Forza,"159,22","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Frumento,"162,70",Frumento Tenero,"128,27",Grani Di Forza,"158,81","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Frumento,"161,03",Frumento Tenero,"131,82",Grani Di Forza,"159,10","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Frumento,"154,06",Frumento Tenero,"122,23",Grani Di Forza,"145,63","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Frumento,"150,28",Frumento Tenero,"123,73",Grani Di Forza,"146,02","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Frumento,"149,47",Frumento Tenero,"124,97",Grani Di Forza,"146,96","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Frumento,"152,59",Frumento Tenero,"129,70",Grani Di Forza,"149,90","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Frumento,"152,59",Frumento Tenero,"131,57",Grani Di Forza,"150,73","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Frumento,"152,91",Frumento Tenero,"134,52",Grani Di Forza,"150,73","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Frumento,"179,94",Frumento Tenero,"135,32",Mercantile,"120,64","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Frumento,"174,39",Frumento Tenero,"131,04",Mercantile,"117,48","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Frumento,"155,25",Frumento Tenero,"125,32",Mercantile,"113,32","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Frumento,"158,10",Frumento Tenero,"124,43",Mercantile,"110,21","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Frumento,"162,70",Frumento Tenero,"128,27",Mercantile,"112,52","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Frumento,"161,03",Frumento Tenero,"131,82",Mercantile,"112,52","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Frumento,"154,06",Frumento Tenero,"122,23",Mercantile,"105,01","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Frumento,"150,28",Frumento Tenero,"123,73",Mercantile,"108,12","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Frumento,"149,47",Frumento Tenero,"124,97",Mercantile,"110,64","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Frumento,"152,59",Frumento Tenero,"129,70",Mercantile,"118,50","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Frumento,"152,59",Frumento Tenero,"131,57",Mercantile,"123,25","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Frumento,"152,91",Frumento Tenero,"134,52",Mercantile,"128,81","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Frumento,"179,94",Frumento Tenero,"135,32",Varieta' Speciali,"140,98","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Frumento,"174,39",Frumento Tenero,"131,04",Varieta' Speciali,"140,47","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Frumento,"155,25",Frumento Tenero,"125,32",Varieta' Speciali,"136,83","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Frumento,"158,10",Frumento Tenero,"124,43",Varieta' Speciali,"136,00","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Frumento,"162,70",Frumento Tenero,"128,27",Varieta' Speciali,"136,69","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Frumento,"161,03",Frumento Tenero,"131,82",Varieta' Speciali,"137,66","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Frumento,"154,06",Frumento Tenero,"122,23",Varieta' Speciali,"128,22","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Frumento,"150,28",Frumento Tenero,"123,73",Varieta' Speciali,"128,63","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Frumento,"149,47",Frumento Tenero,"124,97",Varieta' Speciali,"129,62","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Frumento,"152,59",Frumento Tenero,"129,70",Varieta' Speciali,"133,78","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Frumento,"152,59",Frumento Tenero,"131,57",Varieta' Speciali,"134,60","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Frumento,"152,91",Frumento Tenero,"134,52",Varieta' Speciali,"135,87","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Granturco E Cereali Minori,"126,78",Avena,"140,35",-,"140,35","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Granturco E Cereali Minori,"120,97",Avena,"142,90",-,"142,90","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Granturco E Cereali Minori,"119,01",Avena,"144,22",-,"144,22","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Granturco E Cereali Minori,"121,93",Avena,"151,25",-,"151,25","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Granturco E Cereali Minori,"130,78",Avena,"153,61",-,"153,61","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Granturco E Cereali Minori,"133,12",Avena,"188,82",-,"188,82","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Granturco E Cereali Minori,"132,17",Avena,"175,94",-,"175,94","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Granturco E Cereali Minori,"135,12",Avena,"175,81",-,"175,81","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Granturco E Cereali Minori,"131,93",Avena,"176,73",-,"176,73","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Granturco E Cereali Minori,"131,47",Avena,"159,37",-,"159,37","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Granturco E Cereali Minori,"130,72",Avena,"159,58",-,"159,58","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Granturco E Cereali Minori,"132,88",Avena,"159,58",-,"159,58","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Granturco E Cereali Minori,"126,78",Mais,"126,95",-,"126,95","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Granturco E Cereali Minori,"120,97",Mais,"120,86",-,"120,86","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Granturco E Cereali Minori,"119,01",Mais,"119,08",-,"119,08","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Granturco E Cereali Minori,"121,93",Mais,"121,99",-,"121,99","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Granturco E Cereali Minori,"130,78",Mais,"131,40",-,"131,40","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Granturco E Cereali Minori,"133,12",Mais,"133,26",-,"133,26","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Granturco E Cereali Minori,"132,17",Mais,"132,15",-,"132,15","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Granturco E Cereali Minori,"135,12",Mais,"135,24",-,"135,24","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Granturco E Cereali Minori,"131,93",Mais,"131,57",-,"131,57","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Granturco E Cereali Minori,"131,47",Mais,"131,57",-,"131,57","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Granturco E Cereali Minori,"130,72",Mais,"130,29",-,"130,29","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Granturco E Cereali Minori,"132,88",Mais,"132,02",-,"132,02","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Granturco E Cereali Minori,"126,78",Orzo,"117,80",-,"117,80","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Granturco E Cereali Minori,"120,97",Orzo,"113,65",-,"113,65","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Granturco E Cereali Minori,"119,01",Orzo,"106,99",-,"106,99","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Granturco E Cereali Minori,"121,93",Orzo,"108,34",-,"108,34","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Granturco E Cereali Minori,"130,78",Orzo,"109,83",-,"109,83","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Granturco E Cereali Minori,"133,12",Orzo,"112,89",-,"112,89","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Granturco E Cereali Minori,"132,17",Orzo,"114,40",-,"114,40","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Granturco E Cereali Minori,"135,12",Orzo,"116,71",-,"116,71","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Granturco E Cereali Minori,"131,93",Orzo,"117,92",-,"117,92","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Granturco E Cereali Minori,"131,47",Orzo,"121,81",-,"121,81","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Granturco E Cereali Minori,"130,72",Orzo,"127,61",-,"127,61","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Granturco E Cereali Minori,"132,88",Orzo,"135,88",-,"135,88","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Riso,"174,99",Risone,"174,99",Arborio E Volano,"126,32","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Riso,"169,33",Risone,"169,33",Arborio E Volano,"115,73","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Riso,"170,43",Risone,"170,43",Arborio E Volano,"112,14","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Riso,"171,33",Risone,"171,33",Arborio E Volano,"111,31","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Riso,"177,25",Risone,"177,25",Arborio E Volano,"111,73","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Riso,"191,11",Risone,"191,11",Arborio E Volano,"131,87","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Riso,"184,55",Risone,"184,55",Arborio E Volano,"154,15","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Riso,"204,36",Risone,"204,36",Arborio E Volano,"162,78","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Riso,"190,14",Risone,"190,14",Arborio E Volano,"151,49","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Riso,"183,69",Risone,"183,69",Arborio E Volano,"195,59","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Riso,"190,37",Risone,"190,37",Arborio E Volano,"199,89","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Riso,"191,61",Risone,"191,61",Arborio E Volano,"199,89","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Riso,"174,99",Risone,"174,99","Balilla, Centauro E Sim.","215,79","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Riso,"169,33",Risone,"169,33","Balilla, Centauro E Sim.","195,05","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Riso,"170,43",Risone,"170,43","Balilla, Centauro E Sim.","195,05","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Riso,"171,33",Risone,"171,33","Balilla, Centauro E Sim.","193,60","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Riso,"177,25",Risone,"177,25","Balilla, Centauro E Sim.","185,59","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Riso,"191,11",Risone,"191,11","Balilla, Centauro E Sim.","195,31","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Riso,"184,55",Risone,"184,55","Balilla, Centauro E Sim.","194,26","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Riso,"204,36",Risone,"204,36","Balilla, Centauro E Sim.","192,35","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Riso,"190,14",Risone,"190,14","Balilla, Centauro E Sim.","192,35","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Riso,"183,69",Risone,"183,69","Balilla, Centauro E Sim.","192,51","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Riso,"190,37",Risone,"190,37","Balilla, Centauro E Sim.","211,99","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Riso,"191,61",Risone,"191,61","Balilla, Centauro E Sim.","228,97","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Riso,"174,99",Risone,"174,99",Carnaroli E Sim.,"126,65","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Riso,"169,33",Risone,"169,33",Carnaroli E Sim.,"118,80","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Riso,"170,43",Risone,"170,43",Carnaroli E Sim.,"115,95","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Riso,"171,33",Risone,"171,33",Carnaroli E Sim.,"113,63","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Riso,"177,25",Risone,"177,25",Carnaroli E Sim.,"111,88","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Riso,"191,11",Risone,"191,11",Carnaroli E Sim.,"122,83","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Riso,"184,55",Risone,"184,55",Carnaroli E Sim.,"146,62","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Riso,"204,36",Risone,"204,36",Carnaroli E Sim.,"152,16","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Riso,"190,14",Risone,"190,14",Carnaroli E Sim.,"140,74","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Riso,"183,69",Risone,"183,69",Carnaroli E Sim.,"167,73","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Riso,"190,37",Risone,"190,37",Carnaroli E Sim.,"199,41","178,32"
Coltivazioni,dic,"193,33",Cereali E Derivati,"150,40",Riso,"191,61",Risone,"191,61",Carnaroli E Sim.,"200,54","177,47"
Coltivazioni,gen,"205,61",Cereali E Derivati,"158,75",Riso,"174,99",Risone,"174,99","Indica, Thaibonnet E Sim.","187,37","175,86"
Coltivazioni,feb,"194,26",Cereali E Derivati,"153,09",Riso,"169,33",Risone,"169,33","Indica, Thaibonnet E Sim.","187,21","168,85"
Coltivazioni,mar,"178,44",Cereali E Derivati,"143,77",Riso,"170,43",Risone,"170,43","Indica, Thaibonnet E Sim.","190,22","162,03"
Coltivazioni,apr,"178,95",Cereali E Derivati,"146,28",Riso,"171,33",Risone,"171,33","Indica, Thaibonnet E Sim.","196,41","161,64"
Coltivazioni,mag,"180,50",Cereali E Derivati,"152,61",Riso,"177,25",Risone,"177,25","Indica, Thaibonnet E Sim.","213,25","161,45"
Coltivazioni,giu,"170,84",Cereali E Derivati,"154,48",Riso,"191,11",Risone,"191,11","Indica, Thaibonnet E Sim.","231,27","157,67"
Coltivazioni,lug,"178,53",Cereali E Derivati,"147,86",Riso,"184,55",Risone,"184,55","Indica, Thaibonnet E Sim.","231,37","163,05"
Coltivazioni,ago,"185,37",Cereali E Derivati,"151,02",Riso,"204,36",Risone,"204,36","Indica, Thaibonnet E Sim.","231,37","168,13"
Coltivazioni,set,"208,60",Cereali E Derivati,"146,62",Riso,"190,14",Risone,"190,14","Indica, Thaibonnet E Sim.","193,85","179,66"
Coltivazioni,ott,"212,60",Cereali E Derivati,"148,62",Riso,"183,69",Risone,"183,69","Indica, Thaibonnet E Sim.","191,78","184,97"
Coltivazioni,nov,"195,38",Cereali E Derivati,"149,20",Riso,"190,37",Risone,"190,37","Indica, Thaibonnet E Sim.","191,78","178,32"
